,,,,,,,,
,,,,,,,,
,Case ID,"Background
Match",Model A,Model B,,,,
,2334,NO,0.936,0.255,,,,
,2335,NO,0.936,0.347,,,,
,2336,NO,0.940,0.383,,,,
,2337,NO,0.937,0.253,,,,
,2338,NO,0.934,0.433,,,,
,2339,NO,0.935,0.265,,,,
,2340,NO,0.933,0.262,,,,
,2341,NO,0.934,0.299,,,,
,2342,NO,0.941,0.238,,,,
,2343,NO,0.948,0.305,,,,
,2344,NO,0.935,0.513,,,,
,2345,NO,0.938,0.276,,,,
,2346,NO,0.936,0.540,,,,
,2347,NO,0.941,0.419,,,,
,2348,NO,0.936,0.368,,,,
,2349,NO,0.942,0.455,,,,
,2350,NO,0.932,0.384,,,,
,2351,NO,0.933,0.418,,,,
,2352,NO,0.937,0.483,,,,
,2353,NO,0.944,0.435,,,,
,2354,NO,0.933,0.521,,,,
,2355,NO,0.942,0.312,,,,
,2356,NO,0.938,0.160,,,,
,2357,NO,0.934,0.358,,,,
,2358,NO,0.941,0.339,,,,
,2359,NO,0.938,0.508,,,,
,2360,NO,0.939,0.218,,,,
,2362,NO,0.973,0.528,,,,
,2363,NO,0.969,0.477,,,,
,2364,NO,0.967,0.371,,,,
,2365,NO,0.966,0.475,,,,
,2366,NO,0.966,0.677,,,,
,2367,NO,0.966,0.309,,,,
,2368,NO,0.965,0.437,,,,
,2369,NO,0.965,0.295,,,,
,2370,NO,0.965,0.329,,,,
,2371,NO,0.952,0.292,,,,
,2372,NO,0.946,0.347,,,,
,2373,NO,0.945,0.375,,,,
,2374,NO,0.945,0.518,,,,
,2375,NO,0.947,0.550,,,,
,2376,NO,0.950,0.427,,,,
,2377,NO,0.946,0.475,,,,
,2378,NO,0.946,0.306,,,,
,2379,NO,0.952,0.452,,,,
,2380,NO,0.948,0.307,,,,
,2381,NO,0.947,0.427,,,,
,2382,NO,0.958,0.431,,,,
,2383,NO,0.948,0.324,,,,
,2384,NO,0.948,0.409,,,,
,2385,NO,0.951,0.415,,,,
,2386,NO,0.946,0.374,,,,
,2387,NO,0.945,0.313,,,,
,2388,NO,0.946,0.393,,,,
,2389,NO,0.962,0.386,,,,
,2390,NO,0.950,0.457,,,,
,2391,NO,0.946,0.453,,,,
,2392,NO,0.945,0.382,,,,
,2393,NO,0.945,0.598,,,,
,2394,NO,0.949,0.573,,,,
,2395,NO,0.946,0.433,,,,
,2396,NO,0.945,0.331,,,,
,2397,NO,0.953,0.452,,,,
,2398,NO,0.946,0.474,,,,
,2399,NO,0.952,0.370,,,,
,2400,NO,0.945,0.418,,,,
,2402,NO,0.924,0.315,,,,
,2403,NO,0.922,0.371,,,,
,2404,NO,0.922,0.483,,,,
,2405,NO,0.920,0.550,,,,
,2406,NO,0.919,0.248,,,,
,2407,NO,0.919,0.516,,,,
,2408,NO,0.918,0.426,,,,
,2409,NO,0.918,0.365,,,,
,2410,NO,0.918,0.492,,,,
,2411,NO,0.890,0.538,,,,
,2412,NO,0.886,0.531,,,,
,2413,NO,0.892,0.461,,,,
,2414,NO,0.895,0.554,,,,
,2415,NO,0.888,0.363,,,,
,2416,NO,0.887,0.396,,,,
,2417,NO,0.894,0.343,,,,
,2418,NO,0.904,0.232,,,,
,2419,NO,0.891,0.451,,,,
,2420,NO,0.894,0.484,,,,
,2421,NO,0.896,0.406,,,,
,2422,NO,0.891,0.660,,,,
,2423,NO,0.889,0.434,,,,
,2424,NO,0.888,0.254,,,,
,2425,NO,0.900,0.426,,,,
,2426,NO,0.894,0.436,,,,
,2427,NO,0.892,0.324,,,,
,2428,NO,0.890,0.415,,,,
,2429,NO,0.908,0.432,,,,
,2430,NO,0.889,0.406,,,,
,2431,NO,0.900,0.242,,,,
,2432,NO,0.893,0.470,,,,
,2433,NO,0.890,0.281,,,,
,2434,NO,0.889,0.385,,,,
,2435,NO,0.886,0.469,,,,
,2436,NO,0.897,0.211,,,,
,2437,NO,0.887,0.437,,,,
,2438,NO,0.888,0.367,,,,
,2439,NO,0.893,0.546,,,,
,2440,NO,0.916,0.380,,,,
,2442,NO,0.945,0.699,,,,
,2443,NO,0.944,0.546,,,,
,2444,NO,0.944,0.738,,,,
,2445,NO,0.944,0.673,,,,
,2446,NO,0.944,0.594,,,,
,2447,NO,0.943,0.590,,,,
,2448,NO,0.943,0.727,,,,
,2449,NO,0.943,0.476,,,,
,2450,NO,0.943,0.388,,,,
,2451,NO,0.915,0.486,,,,
,2452,NO,0.914,0.309,,,,
,2453,NO,0.915,0.501,,,,
,2454,NO,0.918,0.446,,,,
,2455,NO,0.915,0.471,,,,
,2456,NO,0.915,0.502,,,,
,2457,NO,0.913,0.512,,,,
,2458,NO,0.914,0.406,,,,
,2459,NO,0.913,0.319,,,,
,2460,NO,0.916,0.388,,,,
,2461,NO,0.918,0.344,,,,
,2462,NO,0.919,0.532,,,,
,2463,NO,0.920,0.576,,,,
,2464,NO,0.919,0.488,,,,
,2465,NO,0.919,0.354,,,,
,2466,NO,0.924,0.340,,,,
,2467,NO,0.913,0.375,,,,
,2468,NO,0.913,0.486,,,,
,2469,NO,0.915,0.544,,,,
,2470,NO,0.917,0.448,,,,
,2471,NO,0.920,0.658,,,,
,2472,NO,0.920,0.472,,,,
,2473,NO,0.915,0.428,,,,
,2474,NO,0.935,0.477,,,,
,2475,NO,0.916,0.484,,,,
,2476,NO,0.913,0.374,,,,
,2477,NO,0.927,0.497,,,,
,2478,NO,0.918,0.429,,,,
,2479,NO,0.915,0.497,,,,
,2480,NO,0.922,0.473,,,,
,2482,NO,0.965,0.300,,,,
,2483,NO,0.964,0.410,,,,
,2484,NO,0.961,0.331,,,,
,2485,NO,0.961,0.408,,,,
,2486,NO,0.960,0.499,,,,
,2487,NO,0.959,0.471,,,,
,2488,NO,0.959,0.581,,,,
,2489,NO,0.958,0.339,,,,
,2490,NO,0.957,0.340,,,,
,2491,NO,0.933,0.450,,,,
,2492,NO,0.935,0.272,,,,
,2493,NO,0.938,0.416,,,,
,2494,NO,0.934,0.170,,,,
,2495,NO,0.938,0.512,,,,
,2496,NO,0.939,0.256,,,,
,2497,NO,0.933,0.312,,,,
,2498,NO,0.933,0.250,,,,
,2499,NO,0.932,0.465,,,,
,2500,NO,0.936,0.278,,,,
,2501,NO,0.933,0.458,,,,
,2502,NO,0.947,0.432,,,,
,2503,NO,0.936,0.127,,,,
,2504,NO,0.942,0.396,,,,
,2505,NO,0.938,0.260,,,,
,2506,NO,0.940,0.254,,,,
,2507,NO,0.933,0.485,,,,
,2508,NO,0.933,0.384,,,,
,2509,NO,0.935,0.278,,,,
,2510,NO,0.933,0.240,,,,
,2511,NO,0.935,0.522,,,,
,2512,NO,0.934,0.448,,,,
,2513,NO,0.937,0.236,,,,
,2514,NO,0.933,0.314,,,,
,2515,NO,0.939,0.464,,,,
,2516,NO,0.938,0.396,,,,
,2517,NO,0.939,0.581,,,,
,2518,NO,0.937,0.381,,,,
,2519,NO,0.933,0.285,,,,
,2520,NO,0.933,0.372,,,,
